,2009,2010,2011,2012,2013,2014,2015,2016,2017
Brazil,0.7,7,1.1,0,592.8,1.4,13.1,8.8,6.3
Switzerland,25197.4,16888.8,33680.5,71434.3,24552.8,13973.9,38953.2,74643.2,261389.3
India,2708.1,5481.8,2981.4,1232.9,203.4,225.3,426.3,1769.5,3297.7
United Arab Emirates,5338.3,8222,9886.3,9414.1,9436.8,12061.2,9098.8,63842.1,102206.8
Indonesia,6.6,0,0,0,11.7,0,0,0,0
Thailand,3694.5,2818.3,3603.3,3005.5,2674.6,22377,822.6,933.6,8998.7
Canada,34053.4,29559.8,70430.8,85074.7,87388.9,93303,108335.5,139935.5,14994.8
Georgia,52806.1,49035.2,61851.9,70856.6,85169,84383.7,125319.5,146938.5,6.3
Ecuador,22.2,0,0,0,0,0,6.8,0.7,0
Viet Nam,160,290.9,102.3,33.9,0,61.9,131.2,22.4,157.4
Malaysia,8.4,73.3,28.8,28.7,106.6,18.4,3110.6,241.2,60.2
Lebanon,271.3,93.3,535.2,617,300.5,2080.4,1590.4,194.1,250
Australia,149.9,500.5,238.1,183.1,138.3,153.9,132.2,213.7,116.3
Argentina,6.8,129.2,2.1,1.1,0.4,0.6,5.5,3.7,83.6
South Africa,311.1,54.2,90.5,115.8,16.1,10.8,61.8,40.2,6.4
Egypt,705.3,35.2,275,3.1,112.8,16.6,86.3,12.8,29.3
Singapore,94.2,80.7,180.8,14489.4,1531.8,2767.5,1692,1715,1425.3
"Virgin Islands, British",0,188.8,47.1,2021.3,2096.8,687.4,0,1072.4,20.6
Belize,0,4667.3,10828.8,13883.8,8717,6422,6484.7,1982.8,19.4
"Taiwan, Province of China",0.2,3.4,0,0,29.6,0.1,0,0.5,0
Sri Lanka,0,294.3,3092.7,1448.3,747.7,1157.9,5188.6,57603.9,945.3
Hong Kong,9333,13339.2,17563.9,25623.8,65986.3,131887.5,174200.1,192427.2,339188.5
Rest of countries,0,0,0,0,0,0,0,0,0
